arm,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
quicgo,2,165241.628,,209024,,,
quicgo,2,166073.507,,206464,63258,,67144
quicgo,2,166139.897,,207744,,,
quicgo,2,166145.118,,209024,,,
quicgo,2,167209.667,,206464,63756,,67246
quicgo,2,167336.566,,207744,,,
quicgo,2,167343.219,,209024,,,
quicgo,2,168267.313,,206464,64327,,68327
quicgo,2,168357.65,,207744,,,
quicgo,2,168363.42200000002,,209024,,,
quicgo,2,169320.587,,206464,64814,,68224
quicgo,2,169390.424,,207744,,,
quicgo,2,169395.433,,209024,,,
quicgo,2,170328.655,,206464,65368,,69250
quicgo,2,170343.78399999999,,207744,,,
quicgo,2,170347.351,,209024,,,
quicgo,2,171424.791,,206464,65867,,69364
quicgo,2,171520.44799999997,,207744,,,
quicgo,2,171533.694,,209024,,,
quicgo,2,172604.07,,206464,66440,,70458
quicgo,2,172632.906,,206746,,,
quicgo,2,172676.191,,208026,,,
quicgo,2,172687.03199999998,,209306,,,
quicgo,2,173696.585,,206746,66934,,70399
quicgo,2,173768.816,,208026,,,
quicgo,2,173776.511,,209306,,,
quicgo,2,174585.50600000002,,206475,67490,,71384
quicgo,2,174610.93600000002,,207755,,,
quicgo,2,174616.396,,209035,,,
quicgo,2,175763.813,,206475,67983,,71441
quicgo,2,175826.456,,207755,,,
quicgo,2,175829.993,,209035,,,
quicgo,2,176737.12900000002,,206475,68535,,72400
quicgo,2,176757.609,,207755,,,
quicgo,2,176762.899,,209035,,,
quicgo,2,177860.979,,206475,69019,,72409
quicgo,2,177879.165,,207755,,,
quicgo,2,177885.66700000002,,209035,,,
quicgo,2,179058.70500000002,,206475,69594,,73623
quicgo,2,179087.08,,207755,,,
quicgo,2,179093.022,,209035,,,
quicgo,2,179897.25699999998,,206475,70207,,74504
quicgo,2,179919.38999999998,,207755,,,
quicgo,2,179925.442,,209035,,,
quicgo,2,181070.594,,206475,70749,,74545
quicgo,2,181162.835,,207755,,,
quicgo,2,181167.855,,209035,,,
quicgo,2,182062.73799999998,,206475,71350,,75561
quicgo,2,182080.823,,207755,,,
quicgo,2,182084.731,,209035,,,
quicgo,2,183144.666,,206475,71892,,75692
quicgo,2,183158.91400000002,,207755,,,
quicgo,2,183162.47100000002,,209035,,,
quicgo,2,184187.679,,206475,72496,,76725
quicgo,2,184204.812,,207755,,,
quicgo,2,184209.712,,209035,,,
quicgo,2,185187.828,,206475,73003,,76555
quicgo,2,185203.699,,207755,,,
quicgo,2,185208.458,,209035,,,
quicgo,2,186357.26700000002,,206475,73588,,77687
quicgo,2,186382.847,,206759,,,
quicgo,2,186391.644,,208039,,,
quicgo,2,186396.153,,209319,,,
quicgo,2,187453.72900000002,,206759,74108,,77751
quicgo,2,187481.313,,208039,,,
quicgo,2,187485.471,,209319,,,
quicgo,2,188415.97400000002,,206480,74554,,77684
quicgo,2,188440.351,,207760,,,
quicgo,2,188446.36299999998,,209040,,,
quicgo,2,189609.887,,206480,75086,,78817
quicgo,2,189627.92200000002,,207760,,,
quicgo,2,189631.369,,209040,,,
quicgo,2,190639.42299999998,,206480,75687,,79897
quicgo,2,190653.53,,207760,,,
quicgo,2,190656.506,,209040,,,
quicgo,2,191687.80599999998,,206480,76191,,79727
quicgo,2,191700.561,,207760,,,
quicgo,2,191703.196,,209040,,,
quicgo,2,193143.927,,206480,76808,,81129
quicgo,2,193171.762,,207760,,,
quicgo,2,193176.17,,209040,,,
quicgo,2,194000.976,,206480,77343,,81092
quicgo,2,194027.277,,207760,,,
quicgo,2,194033.008,,209040,,,
quicgo,2,195145.802,,206480,77968,,82346
quicgo,2,195181.682,,207760,,,
quicgo,2,195190.239,,209040,,,
quicgo,2,196029.799,,206480,78482,,82081
quicgo,2,196052.08200000002,,207760,,,
quicgo,2,196057.17200000002,,209040,,,
quicgo,2,197071.23799999998,,206480,79064,,83145
quicgo,2,197146.134,,207760,,,
quicgo,2,197152.948,,209040,,,
quicgo,2,198010.657,,206480,79570,,83114
quicgo,2,198025.306,,207760,,,
quicgo,2,198028.603,,209040,,,
quicgo,2,199132.595,,206480,80151,,84223
quicgo,2,199175.549,,207760,,,
quicgo,2,199183.47499999998,,209040,,,
quicgo,2,200280.14200000002,,206480,80638,,84049
quicgo,2,200307.165,,206751,,,
quicgo,2,200319.93,,208031,,,
quicgo,2,200325.07,,209311,,,
quicgo,2,201301.77599999998,209920,206751,81192,,85072
quicgo,2,201366.272,,208031,,,
quicgo,2,201372.254,,209311,,,
quicgo,2,201378.78699999998,,210591,,,
quicgo,2,202488.215,,207760,81711,,85347
quicgo,2,202507.883,,209040,,,
quicgo,2,202529.686,,210320,,,
quicgo,2,203448.741,,207760,82265,,86148
quicgo,2,203465.373,,209040,,,
quicgo,2,203468.79,,210320,,,
quicgo,2,204525.459,,207760,82780,,86392
quicgo,2,204539.23599999998,,209040,,,
quicgo,2,204542.23200000002,,210320,,,
quicgo,2,205580.646,,207760,83225,,86348
quicgo,2,205593.24000000002,,209040,,,
quicgo,2,205596.15600000002,,210320,,,
quicgo,2,207300.59900000002,,206480,83616,,86359
quicgo,2,207331.22900000002,,207760,,,
quicgo,2,207337.22,,209040,,,
quicgo,2,207341.228,,210320,,,
quicgo,2,208352.248,,207760,83965,,86416
quicgo,2,208370.464,,209040,,,
quicgo,2,208374.31100000002,,210320,,,
quicgo,2,209348.07200000001,,207760,84268,,86392
quicgo,2,209415.074,,209040,,,
quicgo,2,209421.616,,210320,,,
quicgo,2,210314.481,,207760,84516,,86255
quicgo,2,210333.318,,209040,,,
quicgo,2,210338.30699999997,,210320,,,
quicgo,2,211347.985,,207760,84719,,86144
quicgo,2,211360.78,,209040,,,
quicgo,2,211364.15600000002,,210320,,,
quicgo,2,212394.709,,207760,84920,,86331
quicgo,2,212407.614,,209040,,,
quicgo,2,212411.262,,210320,,,
quicgo,2,213679.53399999999,,207760,85116,,86494
quicgo,2,213707.33899999998,,208044,,,
quicgo,2,213720.565,,209324,,,
quicgo,2,213726.036,,210604,,,
quicgo,2,214821.31999999998,,208044,85282,,86450
quicgo,2,214848.814,,209324,,,
quicgo,2,214853.76400000002,,210604,,,
quicgo,2,215709.064,,208044,85428,,86451
quicgo,2,215778.57,,209324,,,
